date,open,high,low,close,volume,gain,action,RSI,EMA_50,EMA_100,MACD_Position,slope,Body,UpperWickRatio,LowerWickRatio,Direction
2025-05-27 03:00:00+00:00,108272.73,109298.43,108268.0,108892.16,1100.79535,619.4300000000076,1,0.0,108892.16,108892.16,0.0,0,619.4300000000076,0.6558771774050087,0.0076360524998722494,1
2025-05-27 04:00:00+00:00,108892.15,109355.11,108863.63,108952.65,626.46795,60.5,1,0.0,108894.53215686274,108893.35782178218,3.8603304843301887,339,60.5,6.652231404958783,0.47140495867751275,1
2025-05-27 05:00:00+00:00,108952.64,108969.76,108550.0,108923.36,667.51791,-29.279999999998836,1,0.0,108895.66266051518,108893.95192432114,4.199528094744309,15,29.279999999998836,0.5846994535517768,12.751366120219107,-1
2025-05-27 06:00:00+00:00,108923.36,109290.03,108826.08,108828.19,1335.64871,-95.16999999999825,1,0.0,108893.01667382832,108892.64970799795,-1.899912730081007,-62,95.16999999999825,3.8527897446674895,0.022170852159300418,-1
2025-05-27 07:00:00+00:00,108828.18,109636.37,108828.18,109547.16,710.52493,718.9800000000105,0,0.0,108918.66935328604,108905.61030783957,40.245618483852226,311,718.9800000000105,0.12407855573171792,0.0,1
2025-05-27 08:00:00+00:00,109540.0,109777.77,109492.59,109695.65,567.33883,155.64999999999418,0,0.0,108949.13918256895,108921.25465817937,73.92239636275934,430,155.64999999999418,0.5275939608095919,0.30459363957600555,1
2025-05-27 09:00:00+00:00,109695.66,109899.0,109428.98,109830.25,615.70678,134.5899999999965,0,0.0,108983.6925479584,108939.2545659382,99.47081992893959,145,134.5899999999965,0.5108106100007562,1.9814250687273534,1
2025-05-27 10:00:00+00:00,109830.24,109852.0,109639.64,109698.57,253.14136,-131.66999999999825,0,0.0,109011.72695784239,108954.29051512755,101.36517626331897,1,131.66999999999825,0.1652616389458119,0.4475582896636162,-1
2025-05-27 11:00:00+00:00,109698.57,109783.53,109439.71,109585.49,450.26661,-113.08000000000175,1,0.0,109034.22746929956,108966.789514828,89.2902930291566,-122,113.08000000000175,0.7513264945170723,1.2891758047399768,-1
2025-05-27 12:00:00+00:00,109585.49,109826.91,109456.5,109603.02,434.51585,17.529999999998836,1,0.0,109056.53305873879,108979.38813829674,77.22446082634559,-47,17.529999999998836,12.771819737593514,7.358243011980251,1
2025-05-27 13:00:00+00:00,109603.03,110718.0,109581.46,109837.26,2819.7582,234.22999999999593,0,0.0,109087.14980153335,108996.37569991463,79.45072825533802,125,234.22999999999593,3.7601502796397583,0.09208897237754689,1
2025-05-27 14:00:00+00:00,109837.26,110217.4,108670.29,109374.75,2073.92899,-462.50999999999476,0,0.0,109098.4282406889,109003.86826031236,45.87226068634723,-114,462.50999999999476,0.821906553371827,1.523123824349775,-1
2025-05-27 15:00:00+00:00,109374.75,110240.83,109010.33,110140.11,1449.68899,765.3600000000006,0,0.0,109139.27850575992,109026.36809674182,69.86756034004696,151,765.3600000000006,0.1315982021532365,0.47614194627364637,1
2025-05-27 16:00:00+00:00,110140.11,110499.64,109956.03,110217.39,868.1346,77.27999999999884,0,71.37092878530103,109181.55738788699,109049.95268888555,84.62020821907711,421,77.27999999999884,3.6523033126294546,2.38198757763981,1
2025-05-27 17:00:00+00:00,110217.4,110454.95,109968.0,110232.46,599.07105,15.060000000012224,0,71.58401663786678,109222.76925502869,109073.36867524424,88.64341940869747,46,15.060000000012224,14.773572377145426,16.56042496678564,1
2025-05-27 18:00:00+00:00,110232.46,110409.11,109828.92,109890.62,663.24539,-341.84000000001106,0,60.57091002725085,109248.95948032169,109089.55186979387,62.751525489816856,-163,341.84000000001106,0.5167622279428635,0.1804937982681813,-1
2025-05-27 19:00:00+00:00,109890.62,110064.71,109574.46,109877.87,493.59702,-12.75,0,60.19890027430669,109273.62263795614,109105.16212979794,40.32545067020669,-177,12.75,13.65411764705969,23.796862745097172,-1
2025-05-27 20:00:00+00:00,109877.87,109897.49,109551.69,109551.69,282.59269,-326.179999999993,0,51.486884253285574,109284.52724038924,109114.00426584155,1.1530157878876537,-169,326.179999999993,0.0601508369612187,0.0,-1
2025-05-27 21:00:00+00:00,109551.69,109690.94,108824.85,108918.07,575.42749,-633.6199999999953,0,39.52164572425441,109270.15636821713,109110.12437938924,-66.08495990524551,-479,633.6199999999953,0.21976894668729052,0.14712288122218656,-1
2025-05-27 22:00:00+00:00,108918.08,109170.49,108600.0,109027.01,695.95406,108.92999999999302,0,42.016649646156665,109260.62121652233,109108.4785500944,-99.8500816317044,-262,108.92999999999302,1.3171761681815815,2.920040392913083,1
2025-05-27 23:00:00+00:00,109027.0,109159.28,108919.24,108938.17,389.82164,-88.83000000000175,0,40.54758103124669,109247.97607077635,109105.10610355788,-123.2593225099101,10,88.83000000000175,1.4891365529662979,0.21310368118870476,-1
2025-05-28 00:00:00+00:00,108938.17,109261.76,108665.18,109205.39,478.61482,267.22000000000116,0,46.595970912506665,109246.30602878513,109107.09192328941,-115.94669650267912,89,267.22000000000116,0.21094977920812477,1.0215926951575633,1
2025-05-28 01:00:00+00:00,109205.39,109284.7,108624.33,108667.99,432.06306,-537.3999999999942,0,38.18293182992158,109223.62696883276,109098.39683569952,-140.84624213800893,-135,537.3999999999942,0.14758094529214463,0.08124302195758087,-1
