date,open,high,low,close,volume
2025-05-27 02:00:00+00:00,108385.32,108607.01,108255.44,108584.54,335.07028
2025-05-27 02:30:00+00:00,108584.54,108697.94,107894.95,108272.72,483.86395
2025-05-27 03:00:00+00:00,108272.73,109298.43,108268.0,108897.38,739.97258
2025-05-27 03:30:00+00:00,108897.39,109050.0,108851.06,108892.16,360.82277
2025-05-27 04:00:00+00:00,108892.15,109136.16,108863.63,109051.93,184.00861
2025-05-27 04:30:00+00:00,109051.94,109355.11,108920.36,108952.65,442.45934
2025-05-27 05:00:00+00:00,108952.64,108956.08,108550.0,108657.34,466.13723
2025-05-27 05:30:00+00:00,108657.34,108969.76,108550.0,108923.36,201.38068
2025-05-27 06:00:00+00:00,108923.36,109225.0,108921.09,109105.02,403.38719
2025-05-27 06:30:00+00:00,109105.02,109290.03,108826.08,108828.19,932.26152
2025-05-27 07:00:00+00:00,108828.18,109278.33,108828.18,109173.22,235.42337
2025-05-27 07:30:00+00:00,109173.21,109636.37,109173.21,109547.16,475.10156
2025-05-27 08:00:00+00:00,109540.0,109777.77,109540.0,109660.41,329.38676
2025-05-27 08:30:00+00:00,109660.41,109714.29,109492.59,109695.65,237.95207
2025-05-27 09:00:00+00:00,109695.66,109789.0,109484.96,109521.64,297.41065
2025-05-27 09:30:00+00:00,109521.65,109899.0,109428.98,109830.25,318.29613
2025-05-27 10:00:00+00:00,109830.24,109852.0,109734.92,109786.68,127.68498
2025-05-27 10:30:00+00:00,109786.69,109800.0,109639.64,109698.57,125.45638
2025-05-27 11:00:00+00:00,109698.57,109783.53,109465.0,109525.11,295.44138
2025-05-27 11:30:00+00:00,109525.1,109612.03,109439.71,109585.49,154.82523
2025-05-27 12:00:00+00:00,109585.49,109826.91,109555.19,109801.04,252.02676
2025-05-27 12:30:00+00:00,109801.05,109801.05,109456.5,109603.02,182.48909
2025-05-27 13:00:00+00:00,109603.03,110718.0,109581.46,110445.61,1725.21825
2025-05-27 13:30:00+00:00,110445.61,110693.85,109706.0,109837.26,1094.53995
2025-05-27 14:00:00+00:00,109837.26,110217.4,109535.2,109535.21,722.92724
2025-05-27 14:30:00+00:00,109535.2,109653.97,108670.29,109374.75,1351.00175
2025-05-27 15:00:00+00:00,109374.75,109726.06,109010.33,109658.28,814.52046
2025-05-27 15:30:00+00:00,109658.28,110240.83,109626.74,110140.11,635.16853
2025-05-27 16:00:00+00:00,110140.11,110353.0,109956.03,110094.41,505.87274
2025-05-27 16:30:00+00:00,110094.4,110499.64,110046.45,110217.39,362.26186
2025-05-27 17:00:00+00:00,110217.4,110454.95,109968.0,110116.7,270.88457
2025-05-27 17:30:00+00:00,110116.7,110383.28,110000.55,110232.46,328.18648
2025-05-27 18:00:00+00:00,110232.46,110409.11,110051.11,110057.44,302.52674
2025-05-27 18:30:00+00:00,110057.43,110200.0,109828.92,109890.62,360.71865
2025-05-27 19:00:00+00:00,109890.62,109890.62,109574.46,109652.18,252.4629
2025-05-27 19:30:00+00:00,109652.17,110064.71,109628.83,109877.87,241.13412
2025-05-27 20:00:00+00:00,109877.87,109897.49,109697.99,109801.22,118.88563
2025-05-27 20:30:00+00:00,109801.23,109894.89,109551.69,109551.69,163.70706
2025-05-27 21:00:00+00:00,109551.69,109690.94,109053.03,109053.05,237.42108
2025-05-27 21:30:00+00:00,109053.05,109260.87,108824.85,108918.07,338.00641
2025-05-27 22:00:00+00:00,108918.08,109170.49,108600.0,108902.49,351.24824
2025-05-27 22:30:00+00:00,108902.48,109100.59,108843.3,109027.01,344.70582
2025-05-27 23:00:00+00:00,109027.0,109159.28,108919.24,108919.25,280.4577
2025-05-27 23:30:00+00:00,108919.25,109148.0,108919.24,108938.17,109.36394
2025-05-28 00:00:00+00:00,108938.17,109043.48,108665.18,109035.19,266.31272
2025-05-28 00:30:00+00:00,109035.18,109261.76,108827.07,109205.39,212.3021
2025-05-28 01:00:00+00:00,109205.39,109284.7,108828.03,108875.47,194.93008
2025-05-28 01:30:00+00:00,108875.47,108963.01,108624.33,108667.99,237.13298
2025-05-28 02:00:00+00:00,108667.99,108842.98,108400.0,108479.24,447.66956
2025-05-28 02:30:00+00:00,108479.24,108869.57,108451.91,108627.42,275.493
2025-05-28 03:00:00+00:00,108627.41,108862.19,108569.09,108714.41,187.21241
2025-05-28 03:30:00+00:00,108714.42,108962.1,108700.97,108863.64,182.80072
2025-05-28 04:00:00+00:00,108863.64,108902.13,108624.43,108668.02,145.46322
2025-05-28 04:30:00+00:00,108668.02,109061.6,108668.02,108971.87,238.44388
2025-05-28 05:00:00+00:00,108971.87,108973.01,108841.57,108949.3,95.29021
2025-05-28 05:30:00+00:00,108949.29,109089.68,108891.57,109000.0,183.64287
2025-05-28 06:00:00+00:00,108999.99,109000.0,108636.36,108821.29,238.44051
2025-05-28 06:30:00+00:00,108821.29,108826.09,108650.0,108727.27,144.60974
2025-05-28 07:00:00+00:00,108727.28,109000.0,108720.0,108881.3,180.76559
2025-05-28 07:30:00+00:00,108881.3,109007.71,108788.71,108816.44,164.86377
2025-05-28 08:00:00+00:00,108816.44,108940.0,108695.0,108910.01,142.80346
2025-05-28 08:30:00+00:00,108910.01,109130.44,108602.9,109040.45,332.56996
