date,open,high,low,close,volume
2025-05-27 03:00:00+00:00,108272.73,109298.43,108268.0,108892.16,1100.79535
2025-05-27 04:00:00+00:00,108892.15,109355.11,108863.63,108952.65,626.46795
2025-05-27 05:00:00+00:00,108952.64,108969.76,108550.0,108923.36,667.51791
2025-05-27 06:00:00+00:00,108923.36,109290.03,108826.08,108828.19,1335.64871
2025-05-27 07:00:00+00:00,108828.18,109636.37,108828.18,109547.16,710.52493
2025-05-27 08:00:00+00:00,109540.0,109777.77,109492.59,109695.65,567.33883
2025-05-27 09:00:00+00:00,109695.66,109899.0,109428.98,109830.25,615.70678
2025-05-27 10:00:00+00:00,109830.24,109852.0,109639.64,109698.57,253.14136
2025-05-27 11:00:00+00:00,109698.57,109783.53,109439.71,109585.49,450.26661
2025-05-27 12:00:00+00:00,109585.49,109826.91,109456.5,109603.02,434.51585
2025-05-27 13:00:00+00:00,109603.03,110718.0,109581.46,109837.26,2819.7582
2025-05-27 14:00:00+00:00,109837.26,110217.4,108670.29,109374.75,2073.92899
2025-05-27 15:00:00+00:00,109374.75,110240.83,109010.33,110140.11,1449.68899
2025-05-27 16:00:00+00:00,110140.11,110499.64,109956.03,110217.39,868.1346
2025-05-27 17:00:00+00:00,110217.4,110454.95,109968.0,110232.46,599.07105
2025-05-27 18:00:00+00:00,110232.46,110409.11,109828.92,109890.62,663.24539
2025-05-27 19:00:00+00:00,109890.62,110064.71,109574.46,109877.87,493.59702
2025-05-27 20:00:00+00:00,109877.87,109897.49,109551.69,109551.69,282.59269
2025-05-27 21:00:00+00:00,109551.69,109690.94,108824.85,108918.07,575.42749
2025-05-27 22:00:00+00:00,108918.08,109170.49,108600.0,109027.01,695.95406
2025-05-27 23:00:00+00:00,109027.0,109159.28,108919.24,108938.17,389.82164
2025-05-28 00:00:00+00:00,108938.17,109261.76,108665.18,109205.39,478.61482
2025-05-28 01:00:00+00:00,109205.39,109284.7,108624.33,108667.99,432.06306
2025-05-28 02:00:00+00:00,108667.99,108869.57,108400.0,108627.42,723.16256
2025-05-28 03:00:00+00:00,108627.41,108962.1,108569.09,108863.64,370.01313
2025-05-28 04:00:00+00:00,108863.64,109061.6,108624.43,108971.87,383.9071
2025-05-28 05:00:00+00:00,108971.87,109089.68,108841.57,109000.0,278.93308
2025-05-28 06:00:00+00:00,108999.99,109000.0,108636.36,108727.27,383.05025
